22_no,22_date,22_technician_name,22_set_ciat,22_sample_id,22_column4,22_column5,22_column6,22_column3,22_replication,22_peso_muestra_g,22_peso_residual_muestra_g,22_peso_total_muestra_g,22_hcl_ml,22_nitrogeno,22_proteina_cruda_percentage_n_x_6_25,22_pc_percentage_dm,22_av_pc_percentage
No,Date,Techincian name,Set CIAT,Sample ID,Column4,Column5,Column6,Column3,Replication,Peso muestra ( g),Peso residual muestra (g),Peso Total Muestra (g),HCl (ml)  ,Nitrogeno (%),Proteina cruda (%) N x 6.25 ,"PC (%), DM","Av PC, %"
125,,,5,F24 3598,ABC-PM21_3537,Megathyrsus,maximus,Megathyrsus maximus,A,,,,,,,10.87316719,10.87316719
126,,,5,F24 3598,ABC-PM21_3537,Megathyrsus,maximus,Megathyrsus maximus,B,,,,,,,10.87316719,
127,,,5,F24 3599,ABC-PM21_3545,Megathyrsus,maximus,Megathyrsus maximus,A,,,,,,,8.40826817,8.40826817
128,,,5,F24 3599,ABC-PM21_3545,Megathyrsus,maximus,Megathyrsus maximus,B,,,,,,,8.40826817,
129,,,5,F24 3600,ABC-PM21_3670,Megathyrsus,maximus,Megathyrsus maximus,A,,,,,,,8.834231116,8.834231116
130,,,5,F24 3600,ABC-PM21_3670,Megathyrsus,maximus,Megathyrsus maximus,B,,,,,,,8.834231116,
131,,,5,F24 3601,ABC-PM21_6628,Megathyrsus,maximus,Megathyrsus maximus,A,,,,,,,9.980926223,9.980926223
132,,,5,F24 3601,ABC-PM21_6628,Megathyrsus,maximus,Megathyrsus maximus,B,,,,,,,9.980926223,
133,,,5,F24 3602,ABC-BH08_1149,Urochloa,humidicola,Brachiaria humidicola,A,,,,,,,7.526319867,7.526319867
134,,,5,F24 3602,ABC-BH08_1149,Urochloa,humidicola,Brachiaria humidicola,B,,,,,,,7.526319867,
135,,,5,F24 3603,ABC-BH16_0550,Urochloa,humidicola,Brachiaria humidicola,A,,,,,,,6.425464292,6.425464292
136,,,5,F24 3603,ABC-BH16_0550,Urochloa,humidicola,Brachiaria humidicola,B,,,,,,,6.425464292,
137,,,5,F24 3604,ABC-BH16_0562,Urochloa,humidicola,Brachiaria humidicola,A,,,,,,,5.939448687,5.939448687
138,,,5,F24 3604,ABC-BH16_0562,Urochloa,humidicola,Brachiaria humidicola,B,,,,,,,5.939448687,
139,,,5,F24 3605,ABC-BH16_3249,Urochloa,humidicola,Brachiaria humidicola,A,,,,,,,6.64642741,6.64642741
140,,,5,F24 3605,ABC-BH16_3249,Urochloa,humidicola,Brachiaria humidicola,B,,,,,,,6.64642741,
141,,,5,F24 3606,ABC-BH16B_0733,Urochloa,humidicola,Brachiaria humidicola,A,,,,,,,8.098687385,8.098687385
142,,,5,F24 3606,ABC-BH16B_0733,Urochloa,humidicola,Brachiaria humidicola,B,,,,,,,8.098687385,
143,,,5,F24 3607,ABC-BH16B_0741,Urochloa,humidicola,Brachiaria humidicola,A,,,,,,,7.498562822,7.498562822
144,,,5,F24 3607,ABC-BH16B_0741,Urochloa,humidicola,Brachiaria humidicola,B,,,,,,,7.498562822,
145,,,5,F24 3608,ABC-BH16B_1194,Urochloa,humidicola,Brachiaria humidicola,A,,,,,,,5.470321142,5.470321142
146,,,5,F24 3608,ABC-BH16B_1194,Urochloa,humidicola,Brachiaria humidicola,B,,,,,,,5.470321142,
147,,,5,F24 3609,ABC-BH16B_1618,Urochloa,humidicola,Brachiaria humidicola,A,,,,,,,8.125850845,8.125850845
148,,,5,F24 3609,ABC-BH16B_1618,Urochloa,humidicola,Brachiaria humidicola,B,,,,,,,8.125850845,
149,,,5,F24 3610,ABC-BH16B_1707,Urochloa,humidicola,Brachiaria humidicola,A,,,,,,,5.966437759,5.966437759
